"species.name"	"region"	"native_occurences"	"naturalised_occurences"	"Dstat_overlap"	"expansion"	"stability"	"unfilling"	"total.occupancy"	"expansion.observed.cells"	"expansion.potential.cells"	"nnd"	"nnd.propn"	"nnd.observed.cells"	"nnd.observed.cells.propn"	"nnu"	"nnu.propn"	"nnu.observed.cells"	"nnu.observed.cells.propn"	"native_center_x"	"native_center_y"	"natur_center_x"	"natur_center_y"	"natur_poten_x"	"natur_poten_y"	"native_center_tmax"	"native_center_tmin"	"native_center_precip"	"circular_model"	"circ_rstat"	"circ_pstat"	"mean_exp_dist1"	"median_exp_dist1"	"ten_exp_dist1"	"ninety_exp_dist1"	"max_exp_dist1"	"mean_exp_dist2"	"median_exp_dist2"	"ten_exp_dist2"	"ninety_exp_dist2"	"max_exp_dist2"	"proportion_tmax"	"proportion_tmin"	"proportion_precip"	"proportion_cold"	"proportion_dry"	"CV"	"exp_dir1"	"exp_dir2"	"concentration_dir1"	"concentration_dir2"	"alt_circular_model"
"Acacia dealbata"	"Nearctic"	346	35	0.47	0.16753	0.83247	0.10092	68.90399	53	2843	11.544	0.25	53	0.216	4.667	0.068	106	0.552	-0.47429360766762	0.172581405031149	-0.498913596270165	-0.334818331147239	-0.411898094094097	0.0253972618030666	309	-77	1033	"M5B"	0.175478353028941	0	0.654909416042221	0.684979317134532	0.318932514127033	0.983306573391882	1.08584460862792	0.715303624276455	0.665875279254696	0.33859577372974	1.18153116540333	1.55821941394285	0.320926140497261	0.109014738256512	0.370593097043385	0.0648393043914427	0.205327878334457	0.898602381660355	4.454	1.74	1.844	29.803	NA
"Acacia dealbata"	"Neotropical"	346	12	0.312	0.32812	0.67188	0.13312	131.59383	85	2843	43.179	0.934	85	0.347	6.155	0.047	81	0.325	-0.47429360766762	0.172581405031149	-0.818375726074841	0.771839333690392	-0.723564389431457	0.0062768113105767	309	-77	1033	"M5B"	0.835573484371429	0	0.920316416703535	0.940799591871038	0.432658293668862	1.30932440397146	1.69023088934098	0.646140133287259	0.663848461206756	0.313230468811645	0.943103018139349	1.04599806002898	0.00336327560763136	0.00596249668100259	0.351519722585423	0.488445207075753	0.0495884427622342	0.43019731578474	1.341	6.282	7.916	3.179	NA
"Acacia dealbata"	"Palearctic_West"	341	200	0.652	0.01659	0.98341	0.05146	45.78762	14	2884	0.76	0.018	14	0.069	2.186	0.048	55	0.337	-0.468327208908206	0.144226020409359	-0.545419945197718	0.121391638405447	-0.151795964837839	0.0717858154600001	261	50	812	"M5B"	0.824801537569098	0	0.699896304076447	0.730387058792773	0.313974585531929	1.03238561445163	1.19946025752601	0.768625734252817	0.773766245604387	0.332723833116553	1.18408539183007	1.37387199923746	0.235982709609324	0.395183174542354	0.783118907400316	0.00254492671914927	0.000812893460512754	0.495297174885617	3.451	2.251	4.569	11.835	NA
"Acacia dealbata"	"Sino-Japanese"	346	10	0.133	0.34061	0.65939	0.79263	47.01984	32	2843	16.015	0.346	32	0.131	36.65	0.779	189	2.148	-0.47429360766762	0.172581405031149	-1.0244726605613	0.530177116298202	-0.581661184349851	0.254246477751021	309	-77	1033	"M5B"	0.781707978290295	0	0.396640729948087	0.406535279619211	0.216087975888671	0.580624376842951	0.657307004466238	0.631829330559512	0.644153190864483	0.258285406006773	0.994439473198586	1.10049482418088	0.163826865568558	0.259420425827311	0.803934491389962	0	0.0186608860431652	0.333252597527277	3.411	2.058	2.074	14.409	NA
"Acacia mearnsii"	"Afrotropical"	215	83	0.632	0.16726	0.83274	0.02579	52.74112	75	2954	8.821	0.295	75	0.56	0.771	0.015	19	0.1	-0.476914988357487	0.130984752675139	-0.646359401583492	0.205027172124126	-0.686187219818741	-0.23767572522699	263	48	813	"M2A"	0.847204039144781	0	0.789376597160329	0.806849715844397	0.357096273293731	1.15962793852878	1.43455949896847	NA	NA	NA	NA	NA	0.00408734943245108	0.00522347914049079	0.377992129833037	0.523385146303939	0.0380229802075601	0.466053810074372	1.194	NA	3.621	0	NA
"Acacia mearnsii"	"Australian"	215	7	0.258	0.29557	0.70443	0.62216	53.71493	26	2954	15.877	0.531	26	0.194	18.608	0.346	73	0.839	-0.476914988357487	0.130984752675139	-0.599203512203741	0.827798876803167	-0.591774451528519	-0.255977548828104	263	48	813	"M2A"	0.881749654630009	0	0.967868379074377	0.930558578834584	0.653657077399511	1.30081636906932	1.47480029851602	NA	NA	NA	NA	NA	0	0	0.691072389139058	0.249555289008721	0	0.111757997608317	1.491	NA	4.549	0	NA
"Acacia mearnsii"	"Nearctic"	215	8	0.451	0.50803	0.49197	0.01432	145.72195	187	2954	74.031	2.475	187	1.396	0.428	0.003	12	0.039	-0.476914988357487	0.130984752675139	-0.563004847177257	-0.387299225173066	-0.431806650577135	0.0328082559311418	263	48	813	"M5B"	0.232941004140741	0	0.617583857973794	0.639453411884206	0.318548825356626	0.896907130032964	0.987982941475049	0.537801115948908	0.552518238767679	0.244776345763264	0.839517401997072	0.920418205198531	0.338819851480537	0.200165332871865	0.364183082009959	0.101974759627333	0.178495467854837	0.857834080941434	1.81	4.293	6.177	1.504	NA
"Acacia mearnsii"	"Neotropical"	215	23	0.085	0.84462	0.15538	0.88631	53.24811	118	2954	44.974	1.504	118	0.881	26.509	0.498	102	0.68	-0.476914988357487	0.130984752675139	-1.28849328869736	0.775273358701302	-0.677516400277349	-0.0255370309411356	263	48	813	"M5A"	0.95439482159895	0	0.720908415586923	0.754487484987133	0.305311750262495	1.08973816430479	1.23001885106585	0.318967484326587	0.319424656892173	0.154330409465639	0.442440873126191	0.780050760288199	0.031399503034507	0.0720224311490321	0.968600496965493	0	0	0.144977542643451	1.865	2.897	23.994	23.994	NA
"Acacia mearnsii"	"Palearctic_West"	215	30	0.547	0.05341	0.94659	0.17823	46.8792	7	2954	2.504	0.084	7	0.052	5.331	0.114	58	0.699	-0.476914988357487	0.130984752675139	-0.631550636676171	0.181412379714838	-0.209631601249665	0.0165167325486451	263	48	813	"M5B"	0.837408490707455	0	0.678240071360676	0.685211135074274	0.258782194857735	1.05003793533145	1.21663355883463	0.572559064416116	0.589035917560482	0.282391528296654	0.802169274855292	0.972901437214172	0.244048446446433	0.354961302892528	0.779562570043259	0	0	0.292509518000612	2.148	3.202	37.236	4.505	NA
"Acacia melanoxylon"	"Afrotropical"	462	33	0.4	0	1	0.36868	22.35484	0	2800	0	0	0	0	17.296	0.774	223	3.431	-0.569051167906895	0.274290443563375	-0.56280593693235	0.149970558542707	-0.968178246767803	-0.0870034057794564	301	-45	1084	"M2A"	0.899799682133626	0	0.607520209419391	0.627361193762666	0.31747184361986	0.860849421026802	0.938929742028682	NA	NA	NA	NA	NA	0	0	0.0219411538637097	0.895777544388306	0.081902695663374	0.232750875291971	0.669	NA	5.295	0	NA
"Acacia melanoxylon"	"Australian"	468	12	0.438	0.00353	0.99647	0.45166	54.74987	1	2758	0.193	0.004	1	0.003	22.624	0.413	205	1.627	-0.569873261618872	0.290941196384184	-0.385228991234988	0.718441480713828	-0.66286838570097	-0.291159786243818	261	57	931	"M2A"	0.89491912976645	0	1.18883893743888	1.16524973345906	0.662628584316101	1.751084117285	2.12196432492861	NA	NA	NA	NA	NA	0	0.00925681235115411	0.400986957075222	0.49072296433402	0	0.0947744381481822	1.207	NA	5.067	0	NA
