"species.name"	"region"	"native_occurences"	"naturalised_occurences"	"Dstat_overlap"	"expansion"	"stability"	"unfilling"	"total.occupancy"	"expansion.observed.cells"	"expansion.potential.cells"	"nnd"	"nnd.propn"	"nnd.observed.cells"	"nnd.observed.cells.propn"	"nnu"	"nnu.propn"	"nnu.observed.cells"	"nnu.observed.cells.propn"	"native_center_x"	"native_center_y"	"natur_center_x"	"natur_center_y"	"natur_poten_x"	"natur_poten_y"	"native_center_tmax"	"native_center_precip"	"circular_model"	"circ_rstat"	"circ_pstat"	"mean_exp_dist1"	"median_exp_dist1"	"ten_exp_dist1"	"ninety_exp_dist1"	"max_exp_dist1"	"mean_exp_dist2"	"median_exp_dist2"	"ten_exp_dist2"	"ninety_exp_dist2"	"max_exp_dist2"	"proportion_tmax"	"proportion_precip"	"CV"	"exp_dir1"	"exp_dir2"	"concentration_dir1"	"concentration_dir2"	"alt_circular_model"
"Datura wrightii"	"Palearctic_West"	316	27	NA	0.26271	0.73729	0.9022	35.2817	22	2387	9.269	0.197	22	0.084	42.383	1.201	206	2.641	-0.352621881216238	0.694676081779905	-0.0249025826451706	-0.326979415815467	-0.0225132771509052	-0.0538698316878958	336	534	"M2A"	0.942577068457138	0	0.698039688663157	0.715855358266501	0.564536929227762	0.814106459595503	0.887850612116365	NA	NA	NA	NA	NA	0	0	0.0478607910420785	5.181	NA	8.983	0	NA
"Daucus carota"	"Afrotropical"	3155	19	NA	0.01116	0.98884	0.39085	34.57381	3	2207	0.386	0.011	3	0.007	13.608	0.394	357	4.057	-0.00553063702362844	-0.435689015762943	-0.199644124924071	-0.201331373962591	-0.661673353906616	0.577884825673457	238	909	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Daucus carota"	"Australian"	3216	130	NA	0.05179	0.94821	0.02781	72.76548	52	2156	3.768	0.105	52	0.105	0.994	0.014	225	0.703	-0.00848376074263664	-0.457226122983183	-0.408566063788063	-0.493158709069304	-0.51109667214282	0.686722049756887	236	922	"M2A"	0.995269052563315	0	2.17708758128116	2.22386110328271	1.66527364893022	2.576036638471	2.74135665105422	NA	NA	NA	NA	NA	0	1	0.00642479197368728	4.374	NA	105.939	0	NA
"Daucus carota"	"Nearctic"	3276	540	NA	0.03915	0.96085	0.03137	54.14032	94	2075	2.12	0.058	94	0.164	1.148	0.021	216	0.478	-0.00319287870264118	-0.46460814076094	-0.623676323510239	-0.303058893891301	0.0908440809072941	-0.226953689789388	236	922	"M2A"	0.970302277495432	0	1.88636489741445	1.76877638316759	1.50674182923503	2.69258825709535	3.00900200178035	NA	NA	NA	NA	NA	0.0280650297116304	0.98106627469015	0.0659823857891327	3.855	NA	17.098	0	NA
"Daucus carota"	"Palearctic_West"	3269	61	NA	0	1	0.25277	17.4437	0	2108	0	0	0	0	9.214	0.528	412	3.194	-0.0026235678454628	-0.465192145829455	0.200588895047278	-0.273161346963048	0.172092663873961	-0.334454271502095	235	922	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Daucus carota"	"Sino-Japanese"	3243	102	NA	0.24026	0.75974	0.30784	51.22151	105	2171	12.307	0.344	105	0.22	11.007	0.215	298	1.046	0.00173684560337237	-0.470780763785849	-0.929975568600321	-0.431749449565341	-0.0900500783256745	-0.375840533267198	235	922	"M2A"	0.926941186813415	0	1.66442149700381	1.60992896619996	1.3380763367304	2.15887263809569	2.55931857266926	NA	NA	NA	NA	NA	0.299041504200554	0.788515474177025	0.0459460167054451	3.45	NA	7.129	0	NA
"Delonix regia"	"Afrotropical"	28	9	NA	0.17584	0.82416	0.04268	168.01868	76	2386	29.544	0.335	76	0.289	3.767	0.022	32	0.104	-1.09682814217253	-0.414527790618424	-0.908167781744576	-0.378889808013845	-0.981064122580912	-0.110787142030973	312	1421	"M5A"	0.55076893896085	0	1.10312969391028	1.09512040873037	0.888711580561781	1.32784388530761	1.36960188793725	1.61233229135493	1.61937080895152	1.40501039150298	1.81472217281801	1.93414898406371	0	0.530387816370583	0.478900794905879	6.154	4.223	13.943	13.943	NA
"Delonix regia"	"Australian"	28	27	NA	0.11006	0.88994	0.03635	128.11113	92	2386	14.101	0.16	92	0.35	3.208	0.025	30	0.092	-1.09682814217253	-0.414527790618424	-1.24542611711985	-0.581722016598568	-0.599956467746607	0.406457013959256	312	1421	"M5A"	0.939364300862124	0	2.49555975478143	2.31983098689911	1.94237570873347	4.0270099787788	4.20868071518672	2.40970636934688	2.31983098689911	0.964874950972941	4.1252324224384	4.20868071518672	0.0193402817583841	0.998272255325385	0.119810189377324	4.094	3.252	15.898	15.898	NA
"Delonix regia"	"Nearctic"	28	36	NA	0.08544	0.91456	0.04558	90.1236	69	2386	7.7	0.087	69	0.262	4.023	0.045	26	0.085	-1.09682814217253	-0.414527790618424	-1.09715922825608	-0.20024315262288	-0.611490141497597	0.0619266285260868	312	1421	"M5B"	0.863151984493808	0	1.10781862472867	1.03725171733648	0.82060482802021	1.65332519324346	1.92160202174593	2.08063725506347	2.05789930513321	1.83125184739671	2.31423808575521	3.00180090106082	0.431579046309398	0.568339125581349	0.28415990920382	2.866	3.879	42.147	27.319	NA
"Delonix regia"	"Neotropical"	28	81	NA	0.16612	0.83388	0.00582	111.19501	174	2386	18.472	0.209	174	0.662	0.514	0.005	6	0.014	-1.09682814217253	-0.414527790618424	-1.27183487793081	-0.598742110026695	-1.22299607073122	-0.423296784245324	312	1421	"M5B"	0.438305847702632	0	1.7608881789111	1.66404886754431	1.21040943873569	2.47412649472557	2.75090398251588	0.979214547679517	0.977544356823092	0.812109188819117	1.14680304040066	1.25825636151648	0.378935311599596	0.50677646773988	0.364186869845628	4.343	2.599	39.103	1.208	NA
"Delonix regia"	"Oriental"	28	11	NA	0.06144	0.93856	0.17679	95.09799	26	2386	5.843	0.066	26	0.099	15.602	0.164	83	0.403	-1.09682814217253	-0.414527790618424	-1.29853819554475	-0.734736538812136	-1.43208949229064	-0.498169609428728	312	1421	"M5A"	0.608372999664163	0	2.15050610387519	2.12955751832373	1.98046801380207	2.33200440915568	2.39247767740191	1.1712266775257	1.16788972489153	1.14590985546838	1.19921306169037	1.2072888764496	0	0.549477261671495	0.227619667797829	4.068	5.898	42.444	42.444	NA
"Delonix regia"	"Panamanian"	28	68	NA	0.28291	0.71709	0.02304	169.5528	278	2386	47.968	0.544	278	1.057	2.033	0.012	17	0.032	-1.09682814217253	-0.414527790618424	-1.5011321712613	-0.640313221251149	-1.33299458450025	-0.520614113503771	312	1421	"M5B"	0.590994480249436	0	1.83537599708157	1.79503397720279	1.12006398802293	2.60431024480815	2.94876299483226	1.0793856489414	1.07026774008429	0.871839826029924	1.29309977883224	1.40392901677317	0.557724440240086	0.241532569377326	0.369994796129383	3.621	1.902	1.55	8.445	NA
"Descurainia sophia"	"Australian"	1648	9	NA	0.00795	0.99205	0.08398	54.35824	2	2224	0.432	0.018	2	0.005	2.025	0.037	298	2.31	0.0918894244414931	-0.412066242700365	0.183144879265375	-0.350580247817204	-0.496223266993598	0.716474706555674	233	850	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Descurainia sophia"	"Nearctic"	1834	970	NA	0.00816	0.99184	0.03627	53.97694	62	2033	0.44	0.016	62	0.101	0.985	0.018	241	0.551	0.13626946288475	-0.44784846129267	-0.145519022645938	0.226687848029972	0.135077955615485	-0.252904570754445	227	844	"M5A"	0.763379517683381	0	2.59126965902631	2.88289921353442	1.53911979885931	3.18877122230249	3.31437748427114	1.40570000012395	1.43644351100958	0.929345456984838	1.7776181333648	1.93948826942992	0.241607070224526	0.0992772299996553	0.486367146836723	3.823	1.263	11.331	11.331	NA
"Descurainia sophia"	"Neotropical"	1830	14	NA	0.04279	0.95721	0.47053	46.70669	11	2085	1.998	0.074	11	0.02	12.661	0.271	443	3.356	0.138212913647068	-0.451982645021144	0.771312172368308	-0.173719339486733	-0.552130245813108	-0.303777791185717	227	850	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Descurainia sophia"	"Palearctic_West"	1828	165	NA	0.00909	0.99091	0.27083	7.0664	23	2058	0.064	0.002	23	0.039	7.302	1.033	448	2.699	0.135657101136379	-0.448395796099902	0.36669341777824	-0.579645742229393	0.395451539344661	-0.422939292212496	227	844	"M2A"	0.97096196628919	0	1.55994759794412	1.56811380129671	1.3289975636279	1.78207304957051	1.81041243028546	NA	NA	NA	NA	NA	0	0	0.0657921297748481	5.162	NA	17.481	0	NA
"Descurainia sophia"	"Sino-Japanese"	1818	10	NA	0.11496	0.88504	0.99861	8.75387	5	2133	1.006	0.038	5	0.01	26.329	3.008	487	14.324	0.142668697872779	-0.4529737664861	-1.11481979545165	-0.566240476515939	0.108368288178512	-0.486820694825581	226	846	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Dianthus armeria"	"Australian"	1409	67	NA	0.08855	0.91145	0.00887	74.71259	54	2389	6.616	0.355	54	0.208	0.165	0.002	76	0.319	0.0372740724129943	-0.493637109006751	-0.304754567739346	-0.64608239847629	-0.303835350145971	0.286308030667596	231	914	"M2A"	0.972417157107093	0	1.97028964058876	1.8783846725933	1.14936937109033	3.01698784613186	3.16572319346906	NA	NA	NA	NA	NA	0.00340884034370618	0.996591159656294	0.108546313289203	4.33	NA	18.388	0	NA
"Dianthus armeria"	"Nearctic"	1414	326	NA	0.29437	0.70563	0.01715	38.6304	170	2389	11.372	0.609	170	0.654	0.321	0.008	63	0.172	0.0383923568851465	-0.493584744614101	-0.657124412240121	-0.303949047670292	0.0726739161652056	-0.242615969524748	231	914	"M2A"	0.849506216952929	0	1.7405811559186	1.60947907439099	1.25528437294824	3.04212747743273	3.36667379835765	NA	NA	NA	NA	NA	0.169439795651066	0.836707151443624	0.280223378572731	3.789	NA	3.67	0	NA
"Dianthus armeria"	"Sino-Japanese"	1411	10	NA	0.97213	0.02787	0.99994	27.86896	71	2433	27.092	1.485	71	0.329	18.239	0.654	211	2.776	0.0397908145492465	-0.498150257709734	-1.24500875978726	-0.826755699445424	-0.247571396218187	-0.319568020345771	230	917	"M2A"	0.95732657387564	0	1.19878123324233	1.20981403300566	0.839757806779755	1.51588131494735	1.72704893985433	NA	NA	NA	NA	NA	0.012640207447991	1	0.0410729979414194	3.872	NA	11.985	0	NA
"Dietes bicolor"	"Australian"	7	7	NA	0.72383	0.27617	0.18371	26.61299	43	2606	19.263	0.844	43	1	4.191	0.157	13	0.178	-0.22080999710945	-0.160762151488763	-0.628881590874612	-0.607176555702576	-0.295922087937923	-0.0336646876613336	270	880	"M2A"	0.981988699635175	0	0.894887190742275	0.917397931928498	0.594252788585319	1.17848812581689	1.26024940702566	NA	NA	NA	NA	NA	0	1	0.0296992740958044	4.104	NA	28.017	0	NA
"Digitalis grandiflora"	"Nearctic"	598	9	NA	0.3925	0.6075	0.73245	44.23195	48	2404	17.361	0.777	48	0.196	16.367	0.37	178	1.548	0.0582594617371129	-0.622590150963685	-0.65059126635002	-0.653910720100066	0.153127835301513	-0.433581009525579	221	967	"M2A"	0.971096521092547	0	1.18213353930712	1.21629580231025	0.956060172172533	1.3649485579403	1.4221624259965	NA	NA	NA	NA	NA	0.0685202155483297	0.96438441195493	0.154925465112673	3.524	NA	17.561	0	NA
"Digitalis grandiflora"	"Palearctic_West"	598	34	NA	0	1	0.45778	3.68239	0	2404	0	0	0	0	10.23	2.778	211	6.206	0.0582594617371129	-0.622590150963685	0.340954248641004	-0.460614064779966	0.153608069868364	-0.415175866458767	221	967	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Digitalis lutea"	"Palearctic_West"	504	54	NA	0.05252	0.94748	0.2878	15.89355	24	2394	0.835	0.039	24	0.094	6.165	0.388	173	1.632	-0.0631959695934505	-0.549796607508161	0.269423990002058	-0.598101450639094	0.0947969963650609	-0.315541573420967	234	991	"M5B"	0.655169468556929	0	1.92516363275696	1.94457834249465	1.76488340699182	2.07356445884597	2.10523003524238	0.644041622496817	0.640020534244114	0.586187970297254	0.705916362949082	0.732021621574843	0	0.74796412784891	0.299959778969469	4.366	0.186	189.777	6.836	NA
"Digitalis purpurea"	"Australian"	2393	118	NA	0.19486	0.80514	0.06683	100.97652	71	2225	19.676	0.646	71	0.167	2.035	0.02	186	0.602	0.0297560305557343	-0.6833141609179	-0.533134557221576	-1.27205183014076	-0.460596535418837	0.434986477676359	219	1007	"M2A"	0.99568631937527	0	2.39865646102833	2.38934657429999	1.91023393784855	2.91970947944003	3.2546161387819	NA	NA	NA	NA	NA	0	1	0.0042498255832647	4.29	NA	116.162	0	NA
"Digitalis purpurea"	"Nearctic"	2456	136	NA	0.21171	0.78829	0.07587	109.31514	113	2195	23.143	0.734	113	0.249	2.392	0.022	180	0.465	0.0304839398283772	-0.70408944034084	-0.636957461767859	-0.88144404598243	0.0668953033617453	-0.247962522600095	217	1020	"M2A"	0.98780055874534	0	1.9543931874797	1.86602735874967	1.37742735259222	2.60626098830581	3.28149291649566	NA	NA	NA	NA	NA	0.00165970809480452	0.998910326806577	0.0586165451628547	3.89	NA	41.241	0	NA
"Digitalis purpurea"	"Neotropical"	2456	43	NA	0.1786	0.8214	0.05411	128.06173	85	2195	22.872	0.725	85	0.187	1.706	0.013	177	0.489	0.0304839398283772	-0.70408944034084	-0.229442782776104	-1.18094363134235	-0.421840472271777	-0.182704984327122	217	1020	"M5B"	0.956544253424206	0	1.81885863736247	1.78090752577178	1.46866072329712	2.25627032403666	2.36633652329834	1.75157550539528	1.74878958750058	1.32833564957525	2.20015190755391	2.36633652329834	0	0.958950707279313	0.135931054942373	4.96	4.169	1.706	37.443	NA
"Digitalis purpurea"	"Palearctic_West"	2456	63	NA	0	1	0.28548	11.34477	0	2195	0	0	0	0	9.002	0.793	378	4.974	0.0304839398283772	-0.70408944034084	0.287140889182008	-0.62643741965503	0.132266910897089	-0.335768790294122	217	1020	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Digitalis purpurea"	"Panamanian"	1898	9	NA	0.1703	0.8297	0.59198	87.74489	34	2255	14.943	0.474	34	0.086	18.671	0.213	262	1.578	-0.0290449374942025	-0.762989630937841	-0.369049820325444	-1.27794238734844	-0.703539728012208	-0.427273293409275	218	1076	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Digitaria sanguinalis"	"Afrotropical"	1071	143	NA	0	1	0.13135	50.07011	0	2113	0	0	0	0	4.677	0.093	330	1.602	-0.21449109432102	-0.26240010730377	-0.32679390014507	0.0999966663230503	-0.808225354916166	0.356316153657656	263	925	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Digitaria sanguinalis"	"Australian"	1071	244	NA	0.01717	0.98283	0.04657	86.17748	43	2100	1.48	0.041	43	0.078	1.671	0.019	260	0.783	-0.212646599052963	-0.270159811274162	-0.37924432286397	-0.192332516350792	-0.529698217092296	0.686347797638062	262	929	"M2A"	0.995975355994318	0	2.57882572778435	2.48094721267171	2.20370725177667	3.0622650924717	3.1908135853884	NA	NA	NA	NA	NA	0	0.91909764341446	0.0161727639607974	4.487	NA	124.486	0	NA
