"","params","q1","k1","lamda","q2","k2","Likelihood","Counts.Function","Counts.Gradient","Convergence","Message","AIC","AICc","BIC","deltaAIC","deltaAICc","deltaBIC","relative.liks","AIC_weights","ER"
"M5B","5",4.716,4.917,0.585,1.858,1.23,1701.521,"95","25","0","2219.72948401117",3413.043,3413.098,3438.045,0,0,0,1,0.9998,NA
"M4B","4",1.585,1.082,0.426,4.726,5.098,1711.112,"68","18","0","2148.86186836338",3430.223,3430.26,3450.225,17.18,17.162,12.18,0,0.00019,5378.244
"M3B","3",1.573,0.73,0.5,4.715,6.325,1714.653,"43","14","0","2226.83606193641",3435.307,3435.329,3450.308,22.264,22.231,12.263,0,1e-05,68313.941
"M5A","4",1.755,2.752,0.314,4.684,2.752,1718.596,"73","19","0","539.515123477941",3445.192,3445.228,3465.193,32.149,32.13,27.148,0,0,9571358.315
"M4A","3",4.728,2.691,0.69,7.87,2.691,1728.824,"58","15","0","1582.8555299322",3463.648,3463.67,3478.649,50.605,50.572,40.605,0,0,97450636780.356
"M2C","3",4.673,10.133,0.394,NA,0,1739.056,"66","18","0","2261.87636843633",3484.112,3484.134,3499.113,71.069,71.036,61.068,0,0,2706443691134724
"M2B","2",4.686,7.963,0.5,NA,0,1751.112,"31","10","0","2207.49671200338",3506.224,3506.235,3516.224,93.181,93.137,78.18,0,0,1.71364119886267e+20
"M3A","2",4.752,2.725,0.5,7.893,2.725,1798.909,"44","12","0","1592.44447780793",3601.818,3601.829,3611.818,188.775,188.731,173.774,0,0,9.81525380288663e+40
"M2A","2",4.525,0.673,1,NA,0,1901.68,"34","10","0","235.322836658725",3807.36,3807.371,3817.36,394.317,394.273,379.316,0,0,4.21473712712933e+85
"M1","0",NA,0,1,NA,0,2016.151,NA,NA,"0",NA,4032.302,4032.302,4032.302,619.259,619.204,594.258,0,0,2.9542698390398e+134
