"","params","q1","k1","lamda","q2","k2","Likelihood","Counts.Function","Counts.Gradient","Convergence","Message","AIC","AICc","BIC","deltaAIC","deltaAICc","deltaBIC","relative.liks","AIC_weights","ER"
"M5B","5",0.14,0.214,0.63,4.031,5.746,1605.695,"82","23","0","11.2573952719686",3221.39,3221.454,3245.672,0,0,7.289,1,0.66952,NA
"M2C","3",4.058,6.941,0.322,NA,0,1608.907,"44","13","0","909.461468324935",3223.814,3223.839,3238.383,2.424,2.385,0,0.298,0.19929,3.36
"M4B","4",0.91,0.12,0.643,4.052,6.083,1608.365,"85","25","0","905.432583635957",3224.729,3224.771,3244.155,3.339,3.318,5.772,0.188,0.1261,5.309
"M3B","3",0.894,0.503,0.5,4.036,3.612,1612.575,"45","13","0","762.528114535144",3231.149,3231.175,3245.719,9.759,9.721,7.336,0.008,0.00509,131.583
"M5A","4",4.016,1.696,0.71,0.595,1.696,1620.613,"63","16","0","604.84607536182",3249.226,3249.269,3268.652,27.836,27.815,30.269,0,0,1107953.823
"M4A","3",4.009,1.649,0.717,7.15,1.649,1626.519,"45","12","0","465.732267684871",3259.038,3259.064,3273.608,37.648,37.61,35.224,0,0,149690505.996
"M2B","2",4.061,3.593,0.5,NA,0,1631.565,"44","13","0","698.303891283558",3267.13,3267.142,3276.842,45.739,45.689,38.459,0,0,8554338186.756
"M2A","2",4.189,0.607,1,NA,0,1664.101,"34","10","0","167.489619343542",3332.202,3332.215,3341.915,110.812,110.761,103.532,0,0,1.15486753879733e+24
"M3A","2",3.967,1.706,0.5,7.108,1.706,1684.851,"31","9","0","451.635976332909",3373.702,3373.714,3383.415,152.312,152.261,145.031,0,0,1.18583163101483e+33
"M1","0",NA,0,1,NA,0,1745.983,NA,NA,"0",NA,3491.966,3491.966,3491.966,270.576,270.513,253.583,0,0,5.68709899390541e+58
