"species_name","region","kept_natur","thrown_natur","kept_native","thrown_native"
"Ambrosia artemisiifolia","Neotropical","41","0","590","2"
"Ambrosia artemisiifolia","Palearctic_West","1006","0","579","13"
"Ambrosia artemisiifolia","Australian","96","0","521","71"
"Ambrosia artemisiifolia","Palearctic_East","6","0","499","93"
"Ambrosia artemisiifolia","Sino-Japanese","31","0","590","2"
"Ambrosia artemisiifolia","Panamanian","12","0","386","206"
"Ambrosia artemisiifolia","Nearctic","23","0","592","0"
"Ambrosia artemisiifolia","Oriental","5","1","466","126"
"Ambrosia artemisiifolia","Afrotropical","27","0","534","58"
"Ambrosia trifida","Palearctic_West","184","0","481","6"
"Ambrosia trifida","Sino-Japanese","28","0","483","4"
"Amelanchier alnifolia","Palearctic_West","63","0","737","19"
"Amorpha fruticosa","Palearctic_West","170","0","545","11"
"Amorpha fruticosa","Palearctic_East","10","0","431","125"
"Amorpha fruticosa","Sino-Japanese","63","0","550","6"
"Amorpha fruticosa","Oriental","4","1","399","157"
"Amorpha fruticosa","Neotropical","7","0","555","1"
"Ampelopsis brevipedunculata","Nearctic","34","0","39","0"
"Ampelopsis brevipedunculata","Sino-Japanese","42","0","39","0"
"Ampelopsis brevipedunculata","Palearctic_East","10","0","16","23"
"Ampelopsis brevipedunculata","Oriental","34","0","34","5"
"Amsinckia menziesii","Palearctic_West","250","0","395","3"
"Amsinckia menziesii","Afrotropical","10","0","359","39"
"Amsinckia menziesii","Australian","9","0","293","105"
"Anthemis arvensis","Australian","22","0","2473","200"
"Anthemis arvensis","Nearctic","72","0","2673","0"
"Anthemis arvensis","Sino-Japanese","5","0","2663","10"
"Anthemis cotula","Australian","85","0","1705","18"
"Anthemis cotula","Nearctic","357","0","1723","0"
"Anthemis cotula","Palearctic_West","70","0","1723","0"
"Anthemis cotula","Neotropical","56","0","1722","1"
"Anthemis cotula","Afrotropical","19","0","1677","46"
"Anthemis cotula","Sino-Japanese","12","0","1717","6"
"Anthoxanthum odoratum","Nearctic","132","0","3432","0"
"Anthoxanthum odoratum","Australian","289","10","2013","1419"
"Anthoxanthum odoratum","Neotropical","52","1","3425","7"
"Anthoxanthum odoratum","Afrotropical","5","0","1786","1646"
"Anthoxanthum odoratum","Panamanian","18","2","1523","1909"
"Anthriscus caucalis","Nearctic","137","1","1387","0"
"Anthriscus caucalis","Australian","15","0","1385","2"
"Anthriscus caucalis","Palearctic_West","6","0","1387","0"
"Anthriscus sylvestris","Nearctic","53","0","3548","0"
"Anthriscus sylvestris","Palearctic_West","18","0","3544","4"
"Anthriscus sylvestris","Afrotropical","5","0","1915","1633"
"Antigonon leptopus","Oriental","16","0","133","0"
"Antigonon leptopus","Nearctic","15","0","129","4"
"Antigonon leptopus","Neotropical","59","0","133","0"
"Antigonon leptopus","Australian","35","0","128","5"
"Antigonon leptopus","Panamanian","47","0","108","25"
"Antigonon leptopus","Afrotropical","15","0","133","0"
"Apium graveolens","Palearctic_West","24","0","1033","13"
"Aquilegia vulgaris","Nearctic","73","0","2030","0"
"Aquilegia vulgaris","Palearctic_West","829","0","2030","0"
"Aquilegia vulgaris","Australian","28","1","2004","26"
"Aralia chinensis","Palearctic_West","12","1","82","11"
"Aralia chinensis","Nearctic","7","0","93","0"
"Araucaria araucana","Palearctic_West","180","0","19","5"
"Arctium minus","Nearctic","285","0","3008","0"
"Arctium minus","Australian","72","0","2800","208"
"Arctium minus","Palearctic_West","130","0","3007","1"
"Arctium minus","Neotropical","28","0","3008","0"
"Ardisia crenata","Nearctic","8","0","268","14"
"Ardisia crenata","Australian","27","0","251","31"
"Ardisia elliptica","Australian","20","0","9","16"
"Ardisia elliptica","Nearctic","6","0","14","11"
"Armeniaca vulgaris","Palearctic_West","8","0","14","0"
"Arnica chamissonis","Palearctic_West","15","0","372","0"
"Arrhenatherum elatius","Australian","131","3","2580","218"
"Arrhenatherum elatius","Nearctic","188","3","2798","0"
"Arrhenatherum elatius","Sino-Japanese","14","0","2769","29"
"Arrhenatherum elatius","Neotropical","17","0","2794","4"
"Arrhenatherum elatius","Afrotropical","5","0","2473","325"
"Artemisia absinthium","Nearctic","141","0","2052","1"
"Artemisia absinthium","Australian","15","0","1833","220"
"Artemisia campestris","Oriental","7","0","1439","181"
"Artemisia dracunculus","Palearctic_West","254","0","600","5"
"Artemisia vulgaris","Nearctic","175","0","3520","0"
"Artemisia vulgaris","Panamanian","6","0","1929","1591"
"Artemisia vulgaris","Neotropical","32","0","3518","2"
"Arundo donax","Palearctic_West","469","0","65","48"
"Arundo donax","Saharo-Arabian","51","0","46","67"
"Arundo donax","Nearctic","249","0","107","6"
"Arundo donax","Panamanian","33","0","85","28"
"Arundo donax","Australian","125","0","86","27"
"Arundo donax","Afrotropical","21","0","92","21"
"Arundo donax","Neotropical","48","0","109","4"
"Asparagus officinalis","Nearctic","321","0","1338","0"
"Asparagus officinalis","Palearctic_West","355","0","1338","0"
"Asparagus officinalis","Australian","155","0","1332","6"
"Asparagus officinalis","Neotropical","12","0","1337","1"
"Asparagus officinalis","Panamanian","5","1","776","562"
"Asphodelus fistulosus","Australian","428","0","399","6"
"Asphodelus fistulosus","Nearctic","93","0","403","2"
"Asphodelus fistulosus","Neotropical","6","0","389","16"
"Asphodelus fistulosus","Palearctic_West","6","0","405","0"
"Asystasia gangetica","Australian","42","0","280","57"
"Asystasia gangetica","Neotropical","33","0","333","4"
"Asystasia gangetica","Panamanian","25","0","321","16"
"Asystasia gangetica","Oceanian","5","0","164","173"
"Asystasia gangetica","Nearctic","5","0","324","13"
"Avena barbata","Nearctic","204","0","758","0"
"Avena barbata","Palearctic_West","367","0","757","1"
"Avena barbata","Australian","511","0","753","5"
"Avena barbata","Neotropical","24","0","752","6"
"Avena barbata","Afrotropical","13","0","757","1"
"Avena fatua","Nearctic","726","0","2120","1"
"Avena fatua","Palearctic_West","162","0","2107","14"
"Avena fatua","Australian","475","0","1988","133"
"Avena fatua","Afrotropical","23","0","1976","145"
"Avena fatua","Panamanian","5","0","1356","765"
"Avena fatua","Neotropical","54","0","2112","9"
"Azolla caroliniana","Palearctic_West","60","0","77","82"
"Azolla filiculoides","Australian","100","0","105","14"
"Azolla filiculoides","Palearctic_West","335","0","73","46"
"Azolla filiculoides","Afrotropical","13","0","116","3"
"Azolla pinnata","Australian","14","0","241","28"
"Babiana angustifolia","Australian","30","0","18","0"
"Babiana stricta","Australian","16","0","20","0"
"Barbarea vulgaris","Nearctic","499","0","2605","0"
"Barbarea vulgaris","Palearctic_West","722","0","2604","1"
"Barbarea vulgaris","Australian","11","0","2430","175"
"Bauhinia variegata","Oriental","8","0","36","0"
"Bauhinia variegata","Nearctic","25","0","36","0"
"Bauhinia variegata","Neotropical","51","0","34","2"
"Bauhinia variegata","Panamanian","25","0","30","6"
"Bauhinia variegata","Afrotropical","16","0","36","0"
"Bauhinia variegata","Australian","11","0","36","0"
"Berberis thunbergii","Nearctic","165","0","33","1"
"Berberis thunbergii","Palearctic_West","363","6","25","9"
"Berberis thunbergii","Australian","7","0","31","3"
"Berberis vulgaris","Nearctic","100","0","1168","0"
"Berberis vulgaris","Palearctic_West","701","0","1168","0"
"Berberis vulgaris","Australian","11","0","1133","35"
"Berteroa incana","Palearctic_West","1345","0","133","0"
"Berteroa incana","Nearctic","228","0","133","0"
"Beta macrocarpa","Nearctic","18","0","61","0"
"Betula pendula","Australian","30","0","2653","1273"
"Bidens pilosa","Afrotropical","258","2","881","39"
"Bidens pilosa","Australian","411","1","810","110"
"Bidens pilosa","Palearctic_West","77","0","406","514"
"Bidens pilosa","Sino-Japanese","110","0","892","28"
"Bidens pilosa","Saharo-Arabian","24","0","351","569"
"Bidens pilosa","Madagascan","24","0","720","200"
"Bidens pilosa","Oceanian","33","3","510","410"
"Bidens pilosa","Oriental","95","0","899","21"
"Brassica nigra","Nearctic","274","0","1266","1"
"Brassica nigra","Palearctic_West","104","0","1264","3"
"Brassica nigra","Australian","42","0","1262","5"
"Brassica nigra","Panamanian","5","0","920","347"
"Brassica nigra","Neotropical","24","0","1266","1"
"Brassica tournefortii","Nearctic","137","0","77","0"
"Brassica tournefortii","Australian","760","0","77","0"
"Brassica tournefortii","Palearctic_West","36","0","76","1"
"Brassica tournefortii","Afrotropical","16","0","77","0"
"Briza maxima","Australian","383","0","588","2"
"Briza maxima","Sino-Japanese","23","0","582","8"
"Briza maxima","Nearctic","88","0","588","2"
"Briza maxima","Palearctic_West","138","0","590","0"
"Briza maxima","Afrotropical","61","0","590","0"
"Briza maxima","Neotropical","9","0","588","2"
"Bromus arvensis","Palearctic_West","936","0","506","0"
"Bromus arvensis","Nearctic","21","0","506","0"
"Bromus carinatus","Palearctic_West","249","0","748","37"
"Bromus carinatus","Sino-Japanese","10","0","755","30"
"Bromus catharticus","Oriental","10","0","262","36"
"Bromus catharticus","Sino-Japanese","30","0","296","2"
"Bromus catharticus","Nearctic","356","12","297","1"
"Bromus catharticus","Palearctic_West","678","0","278","20"
"Bromus catharticus","Australian","518","1","226","72"
"Bromus catharticus","Afrotropical","149","0","227","71"
"Bromus catharticus","Saharo-Arabian","11","1","225","73"
"Bromus hordeaceus","Australian","551","1","3165","145"
"Bromus hordeaceus","Nearctic","454","2","3310","0"
"Bromus hordeaceus","Afrotropical","23","0","3070","240"
"Bromus hordeaceus","Neotropical","31","0","3307","3"
"Bromus inermis","Palearctic_West","586","0","2128","6"
"Bromus inermis","Australian","31","0","1579","555"
