"source";"citation";"country";"scientific_name"
"http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov";"Vachellia erioloba (E. Mey.) P. J. H. Hurter";"Botswana";"Acacia erioloba"
"http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov";"Vachellia erioloba (E. Mey.) P. J. H. Hurter";"Mozambique";"Acacia erioloba"
"http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov";"Vachellia erioloba (E. Mey.) P. J. H. Hurter";"Namibia";"Acacia erioloba"
"http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov";"Vachellia erioloba (E. Mey.) P. J. H. Hurter";"South Africa";"Acacia erioloba"
"http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov";"Vachellia erioloba (E. Mey.) P. J. H. Hurter";"Swaziland";"Acacia erioloba"
"http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov";"Vachellia erioloba (E. Mey.) P. J. H. Hurter";"Zambia";"Acacia erioloba"
"http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov";"Vachellia erioloba (E. Mey.) P. J. H. Hurter";"Zimbabwe";"Acacia erioloba"
"http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov";"Acacia mearnsii De Wild.";"Australia";"Acacia mearnsii"
"http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov";"Acacia melanoxylon R. Br.";"Australia";"Acacia melanoxylon"
"http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov";"Acanthocereus tetragonus (L.) Hummelinck";"Belize";"Acanthocereus tetragonus"
"http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov";"Acanthocereus tetragonus (L.) Hummelinck";"Costa Rica";"Acanthocereus tetragonus"
"http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov";"Acanthocereus tetragonus (L.) Hummelinck";"Cuba";"Acanthocereus tetragonus"
"http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov";"Acanthocereus tetragonus (L.) Hummelinck";"Dominica";"Acanthocereus tetragonus"
"http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov";"Acanthocereus tetragonus (L.) Hummelinck";"El Salvador";"Acanthocereus tetragonus"
"http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov";"Acanthocereus tetragonus (L.) Hummelinck";"Grenada";"Acanthocereus tetragonus"
"http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov";"Acanthocereus tetragonus (L.) Hummelinck";"Guadeloupe";"Acanthocereus tetragonus"
"http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov";"Acanthocereus tetragonus (L.) Hummelinck";"Guatemala";"Acanthocereus tetragonus"
"http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov";"Acanthocereus tetragonus (L.) Hummelinck";"Honduras";"Acanthocereus tetragonus"
"http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov";"Acanthocereus tetragonus (L.) Hummelinck";"Martinique";"Acanthocereus tetragonus"
"http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov";"Acanthocereus tetragonus (L.) Hummelinck";"Mexico";"Acanthocereus tetragonus"
"http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov";"Acanthocereus tetragonus (L.) Hummelinck";"Nicaragua";"Acanthocereus tetragonus"
"http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov";"Acanthocereus tetragonus (L.) Hummelinck";"Panama";"Acanthocereus tetragonus"
"http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov";"Acanthocereus tetragonus (L.) Hummelinck";"Trinidad and Tobago";"Acanthocereus tetragonus"
"http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov";"Acanthocereus tetragonus (L.) Hummelinck";"United States";"Acanthocereus tetragonus"
"http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov";"Acanthocereus tetragonus (L.) Hummelinck";"Venezuela";"Acanthocereus tetragonus"
"http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov";"Acer tataricum L. subsp. ginnala (Maxim.) Wesm.";"China";"Acer ginnala"
"http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov";"Acer tataricum L. subsp. ginnala (Maxim.) Wesm.";"Mongolia";"Acer ginnala"
"http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov";"Acer tataricum L. subsp. ginnala (Maxim.) Wesm.";"Russian Federation";"Acer ginnala"
"http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov";"Acer negundo L.";"Canada";"Acer negundo"
"http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov";"Acer negundo L.";"Guatemala";"Acer negundo"
"http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov";"Acer negundo L.";"Mexico";"Acer negundo"
"http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov";"Acer negundo L.";"United States";"Acer negundo"
"http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov";"Acer platanoides L.";"Albania";"Acer platanoides"
"http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov";"Acer platanoides L.";"Armenia";"Acer platanoides"
"http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov";"Acer platanoides L.";"Austria";"Acer platanoides"
"http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov";"Acer platanoides L.";"Azerbaijan";"Acer platanoides"
"http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov";"Acer platanoides L.";"Belarus";"Acer platanoides"
"http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov";"Acer platanoides L.";"Belgium";"Acer platanoides"
"http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov";"Acer platanoides L.";"Bulgaria";"Acer platanoides"
"http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov";"Acer platanoides L.";"Estonia";"Acer platanoides"
"http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov";"Acer platanoides L.";"Finland";"Acer platanoides"
"http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov";"Acer platanoides L.";"France";"Acer platanoides"
"http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov";"Acer platanoides L.";"Georgia";"Acer platanoides"
"http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov";"Acer platanoides L.";"Germany";"Acer platanoides"
"http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov";"Acer platanoides L.";"Greece";"Acer platanoides"
"http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov";"Acer platanoides L.";"Hungary";"Acer platanoides"
"http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov";"Acer platanoides L.";"Iran";"Acer platanoides"
"http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov";"Acer platanoides L.";"Italy";"Acer platanoides"
"http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov";"Acer platanoides L.";"Kyrgyzstan";"Acer platanoides"
"http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov";"Acer platanoides L.";"Latvia";"Acer platanoides"
"http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov";"Acer platanoides L.";"Lithuania";"Acer platanoides"
"http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov";"Acer platanoides L.";"Norway";"Acer platanoides"
"http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov";"Acer platanoides L.";"Poland";"Acer platanoides"
"http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov";"Acer platanoides L.";"Romania";"Acer platanoides"
"http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov";"Acer platanoides L.";"Russian Federation";"Acer platanoides"
"http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov";"Acer platanoides L.";"Spain";"Acer platanoides"
"http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov";"Acer platanoides L.";"Sweden";"Acer platanoides"
"http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov";"Acer platanoides L.";"Switzerland";"Acer platanoides"
"http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov";"Acer platanoides L.";"Tajikistan";"Acer platanoides"
"http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov";"Acer platanoides L.";"Ukraine";"Acer platanoides"
"http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov";"Acer pseudoplatanus L.";"Albania";"Acer pseudoplatanus"
"http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov";"Acer pseudoplatanus L.";"Austria";"Acer pseudoplatanus"
"http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov";"Acer pseudoplatanus L.";"Belarus";"Acer pseudoplatanus"
"http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov";"Acer pseudoplatanus L.";"Bulgaria";"Acer pseudoplatanus"
"http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov";"Acer pseudoplatanus L.";"Denmark";"Acer pseudoplatanus"
"http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov";"Acer pseudoplatanus L.";"France";"Acer pseudoplatanus"
"http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov";"Acer pseudoplatanus L.";"Georgia";"Acer pseudoplatanus"
"http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov";"Acer pseudoplatanus L.";"Germany";"Acer pseudoplatanus"
"http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov";"Acer pseudoplatanus L.";"Greece";"Acer pseudoplatanus"
"http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov";"Acer pseudoplatanus L.";"Hungary";"Acer pseudoplatanus"
"http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov";"Acer pseudoplatanus L.";"Italy";"Acer pseudoplatanus"
"http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov";"Acer pseudoplatanus L.";"Moldova";"Acer pseudoplatanus"
"http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov";"Acer pseudoplatanus L.";"Poland";"Acer pseudoplatanus"
"http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov";"Acer pseudoplatanus L.";"Portugal";"Acer pseudoplatanus"
"http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov";"Acer pseudoplatanus L.";"Romania";"Acer pseudoplatanus"
"http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov";"Acer pseudoplatanus L.";"Russian Federation";"Acer pseudoplatanus"
"http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov";"Acer pseudoplatanus L.";"Spain";"Acer pseudoplatanus"
"http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov";"Acer pseudoplatanus L.";"Switzerland";"Acer pseudoplatanus"
"http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov";"Acer pseudoplatanus L.";"Ukraine";"Acer pseudoplatanus"
"http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov";"Acer saccharum Marshall";"Canada";"Acer saccharum"
"http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov";"Acer saccharum Marshall";"Guatemala";"Acer saccharum"
"http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov";"Acer saccharum Marshall";"Mexico";"Acer saccharum"
"http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov";"Acer saccharum Marshall";"United States";"Acer saccharum"
"http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov";"Achillea millefolium L.";"Albania";"Achillea millefolium"
"http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov";"Achillea millefolium L.";"Armenia";"Achillea millefolium"
"http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov";"Achillea millefolium L.";"Austria";"Achillea millefolium"
"http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov";"Achillea millefolium L.";"Azerbaijan";"Achillea millefolium"
"http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov";"Achillea millefolium L.";"Belarus";"Achillea millefolium"
"http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov";"Achillea millefolium L.";"Belgium";"Achillea millefolium"
"http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov";"Achillea millefolium L.";"Bosnia and Herzegovina";"Achillea millefolium"
"http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov";"Achillea millefolium L.";"Bulgaria";"Achillea millefolium"
"http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov";"Achillea millefolium L.";"Canada";"Achillea millefolium"
"http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov";"Achillea millefolium L.";"Croatia";"Achillea millefolium"
"http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov";"Achillea millefolium L.";"Czech Republic";"Achillea millefolium"
"http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov";"Achillea millefolium L.";"Denmark";"Achillea millefolium"
"http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov";"Achillea millefolium L.";"Estonia";"Achillea millefolium"
"http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov";"Achillea millefolium L.";"Faroe Islands";"Achillea millefolium"
"http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov";"Achillea millefolium L.";"Finland";"Achillea millefolium"
"http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov";"Achillea millefolium L.";"France";"Achillea millefolium"
"http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov";"Achillea millefolium L.";"Georgia";"Achillea millefolium"
"http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov";"Achillea millefolium L.";"Germany";"Achillea millefolium"
"http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov";"Achillea millefolium L.";"Greece";"Achillea millefolium"
"http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov";"Achillea millefolium L.";"Guatemala";"Achillea millefolium"
"http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov";"Achillea millefolium L.";"Honduras";"Achillea millefolium"
"http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov";"Achillea millefolium L.";"Hungary";"Achillea millefolium"
"http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov";"Achillea millefolium L.";"India";"Achillea millefolium"
"http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov";"Achillea millefolium L.";"Iran";"Achillea millefolium"
"http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov";"Achillea millefolium L.";"Ireland";"Achillea millefolium"
"http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov";"Achillea millefolium L.";"Italy";"Achillea millefolium"
"http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov";"Achillea millefolium L.";"Kazakhstan";"Achillea millefolium"
"http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov";"Achillea millefolium L.";"Kyrgyzstan";"Achillea millefolium"
"http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov";"Achillea millefolium L.";"Latvia";"Achillea millefolium"
"http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov";"Achillea millefolium L.";"Lithuania";"Achillea millefolium"
"http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov";"Achillea millefolium L.";"Macedonia";"Achillea millefolium"
"http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov";"Achillea millefolium L.";"Mexico";"Achillea millefolium"
"http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov";"Achillea millefolium L.";"Mongolia";"Achillea millefolium"
"http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov";"Achillea millefolium L.";"Montenegro";"Achillea millefolium"
"http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov";"Achillea millefolium L.";"Netherlands";"Achillea millefolium"
"http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov";"Achillea millefolium L.";"Norway";"Achillea millefolium"
"http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov";"Achillea millefolium L.";"Pakistan";"Achillea millefolium"
"http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov";"Achillea millefolium L.";"Poland";"Achillea millefolium"
"http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov";"Achillea millefolium L.";"Portugal";"Achillea millefolium"
"http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov";"Achillea millefolium L.";"Romania";"Achillea millefolium"
"http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov";"Achillea millefolium L.";"Russian Federation";"Achillea millefolium"
