"","params","q1","k1","lamda","q2","k2","Likelihood","Counts.Function","Counts.Gradient","Convergence","Message","AIC","AICc","BIC","deltaAIC","deltaAICc","deltaBIC","relative.liks","AIC_weights","ER"
"M3B","3",5.078,0.427,0.5,8.219,8.378,614.024,"56","17","0","999.030172295079",1234.048,1234.11,1245.985,0,0,0,1,0.54954,NA
"M4B","4",1.934,9.167,0.467,5.075,0.339,613.726,"53","17","0","1024.49470918486",1235.452,1235.554,1251.367,1.404,1.445,5.383,0.496,0.2724,2.017
"M5B","5",1.933,9.176,0.467,5.055,0.338,613.724,"76","30","0","1053.7491786522",1237.447,1237.601,1257.342,3.399,3.492,11.357,0.183,0.10044,5.471
"M2C","3",1.925,11.273,0.407,NA,0,616.042,"57","16","0","1024.00119055801",1238.085,1238.146,1250.022,4.037,4.037,4.037,0.133,0.07302,7.526
"M2B","2",1.932,9.587,0.5,NA,0,619.807,"33","11","0","1020.69298043261",1243.614,1243.645,1251.572,9.566,9.535,5.587,0.008,0.0046,119.446
"M4A","3",1.896,2.285,0.717,5.038,2.285,637.113,"95","24","0","403.413167276767",1280.226,1280.287,1292.163,46.178,46.178,46.178,0,0,10650467357.006
"M5A","4",4.981,2.29,0.283,1.903,2.29,636.897,"56","16","0","110.222312628139",1281.795,1281.897,1297.71,47.747,47.788,51.725,0,0,23335918193.512
"M3A","2",1.894,2.371,0.5,5.036,2.371,668.019,"40","12","0","437.207805134676",1340.039,1340.069,1347.996,105.99,105.96,102.012,0,0,1.03638496433098e+23
"M2A","2",1.938,0.752,1,NA,0,675.486,"30","11","0","104.449818877583",1354.973,1355.003,1362.93,120.924,120.894,116.946,0,0,1.81304684414159e+26
"M1","0",NA,0,1,NA,0,725.961,NA,NA,"0",NA,1451.923,1451.923,1451.923,217.875,217.813,205.938,0,0,2.04592221473638e+47
