"","params","q1","k1","lamda","q2","k2","Likelihood","Counts.Function","Counts.Gradient","Convergence","Message","AIC","AICc","BIC","deltaAIC","deltaAICc","deltaBIC","relative.liks","AIC_weights","ER"
"M3B","3",5.117,0.313,0.5,8.259,7.637,608.998,"65","21","0","881.821834695984",1223.996,1224.058,1235.933,0,0,0,1,0.5107,NA
"M4B","4",1.974,7.811,0.492,5.116,0.291,608.987,"64","21","0","886.798281783285",1225.975,1226.078,1241.891,1.979,2.02,5.957,0.372,0.1899,2.689
"M2C","3",1.965,9.718,0.433,NA,0,610.233,"50","16","0","920.393140773967",1226.466,1226.527,1238.402,2.469,2.469,2.469,0.291,0.14857,3.437
"M5B","5",4.894,0.288,0.51,1.971,7.927,608.814,"70","23","0","7.4909689544711",1227.628,1227.782,1247.522,3.631,3.724,11.589,0.163,0.0831,6.146
"M2B","2",1.972,8.431,0.5,NA,0,612.018,"31","10","0","896.388327703335",1228.037,1228.067,1235.995,4.04,4.01,0.062,0.133,0.06773,7.54
"M4A","3",1.96,2.354,0.745,5.101,2.354,624.248,"46","15","0","438.106592355325",1254.495,1254.557,1266.432,30.499,30.499,30.499,0,0,4194946.986
"M5A","4",1.968,2.366,0.745,5.017,2.366,623.804,"30","10","0","466.388639779325",1255.608,1255.711,1271.524,31.612,31.653,35.59,0,0,7317655.421
"M2A","2",2.012,0.84,1,NA,0,664.402,"29","10","0","128.422845591558",1332.804,1332.835,1340.762,108.808,108.777,104.829,0,0,4.23916208205844e+23
"M3A","2",1.952,2.421,0.5,5.093,2.421,664.526,"30","9","0","445.984866161098",1333.053,1333.083,1341.01,109.056,109.025,105.077,0,0,4.80015723558076e+23
"M1","0",NA,0,1,NA,0,725.961,NA,NA,"0",NA,1451.923,1451.923,1451.923,227.927,227.865,215.99,0,0,3.11611644820905e+49
